[Sun Feb 28 11:39:43.569017 2016] [:error] [pid 13953] [client 192.168.1.4:42487] PHP Fatal error:  Call to undefined method CI_Upload::index() in /var/www/Quote/public_html/application/models/Uploads.php on line 13, referer: http://quote.com/profile/masquetina
[Sun Feb 28 11:40:00.156649 2016] [:error] [pid 13764] [client 192.168.1.4:42493] PHP Fatal error:  Call to undefined method CI_Upload::avatar() in /var/www/Quote/public_html/application/models/Uploads.php on line 13, referer: http://quote.com/profile/masquetina
[Sun Feb 28 11:47:31.335079 2016] [:error] [pid 13764] [client 192.168.1.4:42551] PHP Parse error:  syntax error, unexpected ')' in /var/www/Quote/public_html/application/models/Uploads.php on line 13, referer: http://quote.com/profile/masquetina
[Sun Feb 28 11:53:35.007033 2016] [:error] [pid 14015] [client 192.168.1.4:42570] PHP Fatal error:  Call to a member function initialize() on a non-object in /var/www/Quote/public_html/application/controllers/Settings.php on line 17, referer: http://quote.com/profile/masquetina
[Sun Feb 28 11:55:14.808596 2016] [:error] [pid 14013] [client 192.168.1.4:42578] PHP Fatal error:  Call to a member function initialize() on a non-object in /var/www/Quote/public_html/application/controllers/Settings.php on line 18, referer: http://quote.com/profile/masquetina
[Sun Feb 28 11:58:38.355033 2016] [:error] [pid 13762] [client 192.168.1.4:42599] PHP Parse error:  syntax error, unexpected ''allowed_types'' (T_CONSTANT_ENCAPSED_STRING), expecting ')' in /var/www/Quote/public_html/application/controllers/Settings.php on line 14, referer: http://quote.com/profile/masquetina
[Sun Feb 28 12:47:03.105659 2016] [:error] [pid 13762] [client 192.168.1.4:43279] PHP Parse error:  syntax error, unexpected '}' in /var/www/Quote/public_html/application/controllers/Settings.php on line 21, referer: http://quote.com/profile/masquetina
[Sun Feb 28 13:02:38.085400 2016] [:error] [pid 14015] [client 192.168.1.4:43356] PHP Parse error:  syntax error, unexpected ';' in /var/www/Quote/public_html/application/views/profile.php on line 16, referer: http://quote.com/
[Sun Feb 28 13:03:22.992497 2016] [:error] [pid 13764] [client 192.168.1.4:43367] PHP Fatal error:  Call to undefined method Settings::post() in /var/www/Quote/public_html/application/controllers/Settings.php on line 12, referer: http://quote.com/profile/masquetina
[Sun Feb 28 13:05:53.322464 2016] [:error] [pid 13764] [client 192.168.1.4:43379] PHP Parse error:  syntax error, unexpected 'if' (T_IF) in /var/www/Quote/public_html/application/controllers/Settings.php on line 20, referer: http://quote.com/profile/masquetina
[Sun Feb 28 13:09:37.233991 2016] [:error] [pid 13953] [client 192.168.1.4:43391] PHP Fatal error:  Call to undefined function display_errors() in /var/www/Quote/public_html/application/controllers/Settings.php on line 18, referer: http://quote.com/profile/masquetina
[Sun Feb 28 13:28:40.413681 2016] [:error] [pid 14014] [client 192.168.1.4:43506] PHP Warning:  POST Content-Length of 16413651 bytes exceeds the limit of 8388608 bytes in Unknown on line 0, referer: http://quote.com/profile/masquetina
[Sun Feb 28 13:42:23.173696 2016] [:error] [pid 13830] [client 192.168.1.4:43565] PHP Parse error:  syntax error, unexpected ')' in /var/www/Quote/public_html/application/controllers/Settings.php on line 33, referer: http://quote.com/profile/masquetina
[Sun Feb 28 14:44:12.898007 2016] [:error] [pid 17745] [client 192.168.1.4:44360] PHP Parse error:  syntax error, unexpected 'redirect' (T_STRING) in /var/www/Quote/public_html/application/controllers/Settings.php on line 38, referer: http://quote.com/profile/masquetina
[Sun Feb 28 14:44:30.019478 2016] [:error] [pid 13953] [client 192.168.1.4:44365] PHP Fatal error:  Call to a member function clear() on a non-object in /var/www/Quote/public_html/application/controllers/Settings.php on line 35, referer: http://quote.com/profile/masquetina
[Sun Feb 28 14:44:46.021376 2016] [:error] [pid 14015] [client 192.168.1.4:44371] PHP Fatal error:  Call to a member function initialize() on a non-object in /var/www/Quote/public_html/application/controllers/Settings.php on line 35, referer: http://quote.com/profile/masquetina
[Sun Feb 28 14:45:01.604711 2016] [:error] [pid 13761] [client 192.168.1.4:44381] PHP Fatal error:  Call to a member function crop() on a non-object in /var/www/Quote/public_html/application/controllers/Settings.php on line 35, referer: http://quote.com/profile/masquetina
[Sun Feb 28 14:52:52.283165 2016] [:error] [pid 14015] [client 192.168.1.4:44551] PHP Fatal error:  Call to undefined method CI_Image_lib::fit() in /var/www/Quote/public_html/application/controllers/Settings.php on line 33, referer: http://quote.com/profile/masquetina
[Sun Feb 28 15:38:38.134201 2016] [:error] [pid 19790] [client 192.168.1.4:45087] PHP Parse error:  syntax error, unexpected ';' in /var/www/Quote/public_html/application/controllers/Settings.php on line 30, referer: http://quote.com/profile/masquetina
[Sun Feb 28 17:04:01.472796 2016] [:error] [pid 19093] [client 192.168.1.4:45561] PHP Parse error:  syntax error, unexpected '-', expecting identifier (T_STRING) or variable (T_VARIABLE) or '{' or '$' in /var/www/Quote/public_html/application/controllers/Settings.php on line 35, referer: http://quote.com/profile/masquetina
[Sun Feb 28 19:09:29.839535 2016] [:error] [pid 19071] [client 192.168.1.4:45887] PHP Parse error:  syntax error, unexpected 'echo' (T_ECHO) in /var/www/Quote/public_html/application/views/profile.php on line 13, referer: http://quote.com/
[Mon Feb 29 21:40:43.264986 2016] [:error] [pid 27688] [client 192.168.1.4:50954] PHP Parse error:  syntax error, unexpected ')' in /var/www/Quote/public_html/application/views/profile.php on line 7, referer: http://quote.com/
[Mon Feb 29 21:40:44.282742 2016] [:error] [pid 27688] [client 192.168.1.4:50954] PHP Parse error:  syntax error, unexpected ')' in /var/www/Quote/public_html/application/views/profile.php on line 7, referer: http://quote.com/
[Tue Mar 01 09:38:30.103466 2016] [:error] [pid 27690] [client 192.168.1.4:52563] PHP Parse error:  syntax error, unexpected '$data' (T_VARIABLE) in /var/www/Quote/public_html/application/controllers/Card.php on line 22, referer: http://quote.com/profile/test
[Tue Mar 01 09:39:55.214867 2016] [:error] [pid 670] [client 192.168.1.4:52580] PHP Parse error:  syntax error, unexpected '$data' (T_VARIABLE) in /var/www/Quote/public_html/application/controllers/Card.php on line 22, referer: http://quote.com/profile/test
[Tue Mar 01 09:40:26.857495 2016] [:error] [pid 27688] [client 192.168.1.4:52585] PHP Parse error:  syntax error, unexpected '$data' (T_VARIABLE) in /var/www/Quote/public_html/application/controllers/Card.php on line 22, referer: http://quote.com/profile/test
[Tue Mar 01 09:40:57.983320 2016] [:error] [pid 27691] [client 192.168.1.4:52590] PHP Parse error:  syntax error, unexpected '$username' (T_VARIABLE) in /var/www/Quote/public_html/application/controllers/Card.php on line 19, referer: http://quote.com/profile/test
[Tue Mar 01 10:14:07.667881 2016] [:error] [pid 27692] [client 192.168.1.4:52817] PHP Parse error:  syntax error, unexpected '}' in /var/www/Quote/public_html/application/models/User.php on line 20, referer: http://quote.com/
[Tue Mar 01 10:14:08.518755 2016] [:error] [pid 27692] [client 192.168.1.4:52817] PHP Parse error:  syntax error, unexpected '}' in /var/www/Quote/public_html/application/models/User.php on line 20, referer: http://quote.com/
[Tue Mar 01 10:57:19.118533 2016] [:error] [pid 27479] [client 192.168.1.4:53091] PHP Fatal error:  Call to a member function result() on a non-object in /var/www/Quote/public_html/application/controllers/Profile.php on line 20, referer: http://quote.com/profile/masquetina
[Tue Mar 01 10:57:19.984920 2016] [:error] [pid 3309] [client 192.168.1.4:53092] PHP Fatal error:  Call to a member function result() on a non-object in /var/www/Quote/public_html/application/controllers/Profile.php on line 20, referer: http://quote.com/profile/masquetina
